tau,t1,t2,temp,avg_pMSE,sd_pMSE,se_pMSE,min_pMSE,max_pMSE,num_act1,num_act2
0.2,0.06,0.04,0.7,0.0254815593491486,0.000285651693516673,4.03972499086122e-05,0.0247967747362653,0.0262083909287449,7,0
0.4,0.02,0.06,0.7,0.0262442146957306,0.000300298603341384,4.24686357607084e-05,0.0256486592780929,0.0268614269306217,9,1
0.4,0.02,0.02,0.7,0.0270041567655851,0.000359654037653514,5.08627617811843e-05,0.0261807721610194,0.0278451477723369,10,1
0.2,0.06,0.02,0.7,0.0273742985005935,0.000295514948614217,4.17921248214214e-05,0.0264165163399361,0.0278128937252735,5,0
0.4,0.02,0.04,0.7,0.0277214536904737,0.000304076145133905,4.30028608442498e-05,0.0272073889984277,0.0288458544761444,9,1
0.2,0.06,0.04,0.8,0.0280532700943883,0.000280888289746228,3.972360288709e-05,0.0273319345230166,0.028747449761687,5,0
0.2,0.06,0.06,0.8,0.0287995099937847,0.000276297228559616,3.90743287875107e-05,0.0283828624647067,0.0296555701941472,4,0
0.4,0.02,0.02,0.8,0.0300572687425957,0.000354841598755213,5.01821801453775e-05,0.0288098755752635,0.0305321016084781,10,1
0.2,0.06,0.02,0.8,0.0308805060067046,0.00024940893511272,3.5271749861344e-05,0.0300977426376785,0.0314324569457433,6,0
0.4,0.02,0.06,0.8,0.0316919380005058,0.000294847610823877,4.16977490060431e-05,0.0309859366271618,0.0322360440336849,9,1
0.4,0.02,0.04,0.8,0.0317101125591275,0.000290286508226874,4.10527116908375e-05,0.0311132154259872,0.0324828217851335,10,1
0.4,0.02,0.06,0.9,0.0329280565557744,0.000304268897745496,4.30301201799993e-05,0.0321676315318403,0.0334683290788872,9,1
0.4,0.02,0.04,0.9,0.0333062430387429,0.00030396235915077,4.29867690761941e-05,0.0325491126437967,0.0338315223239701,9,1
0.4,0.02,0.02,0.9,0.0334745054337479,0.000287701062462885,4.06870744444162e-05,0.0329430182087089,0.0341599959876582,9,1
0.2,0.06,0.02,0.9,0.0338202563236744,0.000284638742527319,4.02539970058957e-05,0.0333379849041919,0.0345079588479192,4,0
0.2,0.06,0.06,0.9,0.0351392687520341,0.000310858582099147,4.39620422784684e-05,0.034608488668616,0.0359702364235192,4,0
0.4,0.04,0.04,0.7,0.0353738535981828,0.000320163793909981,4.52779979528319e-05,0.0347335467892405,0.0362135165570327,5,0
0.4,0.06,0.04,0.7,0.0359825633522964,0.000314157566972572,4.44285891934745e-05,0.0353789410690119,0.0369291268973493,3,0
0.4,0.06,0.02,0.7,0.0364820690636238,0.000292997207977548,4.14360625259299e-05,0.0359336841587187,0.0370953477397591,3,0
0.4,0.04,0.02,0.7,0.0365821024796809,0.000263372223424417,3.72464570319167e-05,0.0360550348166598,0.037111392835664,5,0
0.2,0.06,0.04,0.9,0.0366998334974227,0.000259844533246248,3.67475663025351e-05,0.0360882080697358,0.0372611576903583,4,0
0.4,0.04,0.06,0.7,0.0368982931404139,0.000267403821639608,3.7816611119313e-05,0.03606301758433,0.0375020682985078,4,0
0.4,0.04,0.02,0.8,0.0386826293761411,0.000259972240989391,3.67656269047723e-05,0.0381077450610984,0.0391832474651887,6,0
0.4,0.04,0.06,0.8,0.0387721950956891,0.000301888970498621,4.26935476410001e-05,0.038120072859683,0.0394131763231226,5,0
0.4,0.04,0.04,0.8,0.0389800616426483,0.00028934618132823,4.09197293855247e-05,0.0381803582516796,0.0395859344719417,5,0
0.4,0.06,0.06,0.8,0.0393553385229759,0.000261017777084779,3.69134880373772e-05,0.0388795723387283,0.0398253235412785,4,0
0.4,0.04,0.02,0.9,0.0394718331955761,0.000279199920053431,3.94848313553045e-05,0.0386664456911579,0.0402621413187842,5,0
0.4,0.06,0.02,0.8,0.0394903728709925,0.000247455515461027,3.4995494604901e-05,0.0387035061367399,0.0399242420281002,3,0
0.4,0.06,0.04,0.8,0.0397030350567593,0.000253951314998748,3.59141393853712e-05,0.039179800649571,0.0404003341674155,5,0
0.4,0.06,0.02,0.9,0.0397486363539414,0.00026638487959005,3.76725109527372e-05,0.0393086998458223,0.0402628132162153,3,0
0.4,0.06,0.04,0.9,0.0399666245019019,0.000240817446283138,3.40567298589668e-05,0.0394775012012085,0.0404086422456372,4,0
0.4,0.06,0.06,0.9,0.0402612780319864,0.000279482730910299,3.95248268502415e-05,0.0395809576351645,0.0407543455973198,4,0
0.4,0.06,0.06,0.7,0.0406282039060569,0.000266241263660582,3.76522005932146e-05,0.0401578513191696,0.0411317461624099,2,0
0.4,0.04,0.06,0.9,0.0415825675670865,0.000315016847989774,4.45501098803161e-05,0.0407883721340139,0.0422811770017953,3,0
0.4,0.04,0.04,0.9,0.042201874143028,0.000289892887775778,4.09970453528007e-05,0.0416092258430014,0.0430636202804765,2,0
