"caseid","age","birthyr","gender","race"
392113419,76,1942,1,2
392130433,37,1981,2,1
392114734,26,1992,2,1
392109266,50,1968,1,1
392050941,33,1985,2,1
391955911,49,1969,1,1
392110356,69,1949,2,1
392050973,36,1982,2,2
392124529,53,1965,1,1
392117686,85,1933,1,1
392129238,61,1957,2,1
392116367,72,1946,1,1
392121782,72,1946,2,1
392131018,75,1943,2,1
392109399,45,1973,1,1
392130755,75,1943,2,1
392081397,60,1958,1,6
392113491,54,1964,2,3
392103183,60,1958,2,7
392117190,70,1948,2,1
392133661,29,1989,2,1
392022529,55,1963,1,1
392122855,81,1937,1,1
392113134,47,1971,2,1
392106978,54,1964,2,1
392129215,72,1946,2,1
392098710,73,1945,2,1
392091595,49,1969,2,1
392110476,54,1964,2,1
392039735,90,1928,2,1
392117513,70,1948,1,2
392090834,71,1947,2,1
392095068,65,1953,2,1
392110638,30,1988,2,1
392051077,23,1995,2,1
392037109,78,1940,2,1
392095350,65,1953,2,1
392128080,65,1953,1,3
392110310,38,1980,2,1
392133558,57,1961,1,1
392128402,56,1962,2,2
392128238,59,1959,1,1
392133749,39,1979,2,1
392102784,58,1960,2,1
392127959,66,1952,1,1
392128426,54,1964,1,3
392129005,68,1950,1,3
391592482,62,1956,2,1
392131158,57,1961,2,2
392098971,64,1954,1,1
392131626,65,1953,2,1
392129836,27,1991,1,3
392113621,48,1970,1,1
392103420,71,1947,1,1
392112454,53,1965,2,1
392110336,72,1946,2,1
392113658,52,1966,1,1
392128178,58,1960,1,1
392133485,49,1969,2,1
392112612,64,1954,2,5
392127572,57,1961,1,1
392128333,81,1937,2,1
391848255,46,1972,1,1
392112371,60,1958,2,1
392103078,74,1944,1,1
392127417,67,1951,1,1
392122441,50,1968,2,4
392122431,34,1984,2,1
392131766,54,1964,2,1
392121016,29,1989,2,1
392132703,48,1970,2,2
392122005,43,1975,2,1
392136090,42,1976,2,1
392137069,33,1985,2,1
392103194,35,1983,2,2
392117392,75,1943,2,1
392113611,66,1952,1,1
392133446,53,1965,2,3
392131676,54,1964,1,4
392084065,39,1979,2,2
392106904,55,1963,2,7
391923751,69,1949,2,1
391215107,47,1971,2,1
392054732,59,1959,2,1
392137079,57,1961,2,1
392134584,47,1971,1,1
392131808,62,1956,1,1
392131476,41,1977,2,3
392131128,57,1961,2,1
392094531,63,1955,1,1
392023377,55,1963,1,1
392122975,90,1928,1,1
392106739,51,1967,2,2
392128034,38,1980,1,3
392134398,61,1957,2,1
392132021,36,1982,1,1
392136994,54,1964,2,2
392113295,80,1938,1,1
392116226,58,1960,2,1
392057643,53,1965,2,5
392106965,50,1968,2,2
392099146,46,1972,1,1
392136998,39,1979,2,3
391707990,53,1965,2,1
392103339,73,1945,1,1
392042590,66,1952,2,1
392123614,63,1955,2,2
392110205,54,1964,1,1
392127768,80,1938,2,1
392128268,48,1970,2,6
392128222,63,1955,1,1
392133428,53,1965,1,1
391595984,62,1956,1,1
392039956,65,1953,1,1
392103233,74,1944,2,2
392051295,84,1934,1,1
392127586,60,1958,1,1
