"Outcome","S1Variable","S2Variable","Availability","Code","Meaning"
"ActiveCoping","","S2_ActiveCoping","S2 only",,"S2 Coping: Active coping"
"AgeSample","S1_AgeSample","S2_AgeSample","S1 and S2",-1,"Young adult"
"AgeSample","S1_AgeSample","S2_AgeSample","S1 and S2",1,"Adult"
"AntisocialBehavior","S1_AntisocialBehavior","","S1 only",,"S1 Antisocial behavior"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",1,"Really false for me"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",4,"Really true for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",1,"Really false for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",4,"Really true for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",1,"Really false for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",4,"Really true for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",1,"Really false for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",4,"Really true for me"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",1,"No trouble"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",2,"Some minor problems"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",3,"Somewhat serious trouble"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",4,"Serious trouble"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",5,"Very serious trouble"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",1,"Well below average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",2,"Below average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",3,"Average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",4,"Above average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",5,"Well above average"
"Anxiety","","S2_Anxiety","S2 only",,"S2 Anxiety"
"ArtisticInterests","","S2_ArtisticInterests","S2 only",,"S2 Artistic interests"
"Attractiveness","S1_Attractiveness","","S1 only",1,"Extremely unattractive"
"Attractiveness","S1_Attractiveness","","S1 only",2,"Very unattractive"
"Attractiveness","S1_Attractiveness","","S1 only",3,"Moderately unattractive"
"Attractiveness","S1_Attractiveness","","S1 only",4,"Somewhat unattractive"
"Attractiveness","S1_Attractiveness","","S1 only",5,"Average"
"Attractiveness","S1_Attractiveness","","S1 only",6,"Somewhat attractive"
"Attractiveness","S1_Attractiveness","","S1 only",7,"Moderately attractive"
"Attractiveness","S1_Attractiveness","","S1 only",8,"Very attractive"
"Attractiveness","S1_Attractiveness","","S1 only",9,"Extremely attractive"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",1,"Very strongly disagree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",2,"Strongly disagree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",3,"Moderately disagree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",4,"Slightly disagree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",5,"Neutral"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",6,"Slightly agree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",7,"Moderately agree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",8,"Strongly agree"
"Authoritarianism_1","S1_Authoritarianism_1","","S1 only",9,"Very strongly agree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",1,"Very strongly disagree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",2,"Strongly disagree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",3,"Moderately disagree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",4,"Slightly disagree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",5,"Neutral"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",6,"Slightly agree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",7,"Moderately agree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",8,"Strongly agree"
"Authoritarianism_2","S1_Authoritarianism_2","","S1 only",9,"Very strongly agree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",1,"Very strongly disagree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",2,"Strongly disagree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",3,"Moderately disagree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",4,"Slightly disagree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",5,"Neutral"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",6,"Slightly agree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",7,"Moderately agree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",8,"Strongly agree"
"Authoritarianism_3","S1_Authoritarianism_3","","S1 only",9,"Very strongly agree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",1,"Very strongly disagree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",2,"Strongly disagree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",3,"Moderately disagree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",4,"Slightly disagree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",5,"Neutral"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",6,"Slightly agree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",7,"Moderately agree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",8,"Strongly agree"
"Authoritarianism_4","S1_Authoritarianism_4","","S1 only",9,"Very strongly agree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",1,"Very strongly disagree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",2,"Strongly disagree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",3,"Moderately disagree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",4,"Slightly disagree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",5,"Neutral"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",6,"Slightly agree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",7,"Moderately agree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",8,"Strongly agree"
"Authoritarianism_5","S1_Authoritarianism_5","","S1 only",9,"Very strongly agree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",1,"Very strongly disagree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",2,"Strongly disagree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",3,"Moderately disagree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",4,"Slightly disagree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",5,"Neutral"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",6,"Slightly agree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",7,"Moderately agree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",8,"Strongly agree"
"Authoritarianism_6","S1_Authoritarianism_6","","S1 only",9,"Very strongly agree"
"AvoidantCoping","","S2_AvoidantCoping","S2 only",,"S2 Coping: Avoidant coping"
"Case","S1_Case","S2_Case","S1 and S2",,"Case Number"
"CognitiveOrientationTowardsSpirituality","S1_CognitiveOrientationTowardsSpirituality","","S1 only",,"S1 Religious beliefs and behavior: Cognitive orientation towards spirituality"
"Consent","S1_Consent","S2_Consent","S1 and S2",1,"I consent to participate in this study, and I am willing to devote 30 minutes to completing it."
"Consent","S1_Consent","S2_Consent","S1 and S2",2,"I do not wish to participate in this study."
"Conservatism","S1_Conservatism","","S1 only",,"S1 Conservatism"
"Conservatism_1","S1_Conservatism_1","","S1 only",1,"No"
"Conservatism_1","S1_Conservatism_1","","S1 only",2,"?"
"Conservatism_1","S1_Conservatism_1","","S1 only",3,"Yes"
"Conservatism_2","S1_Conservatism_2","","S1 only",1,"No"
"Conservatism_2","S1_Conservatism_2","","S1 only",2,"?"
"Conservatism_2","S1_Conservatism_2","","S1 only",3,"Yes"
"Conservatism_3","S1_Conservatism_3","","S1 only",1,"No"
"Conservatism_3","S1_Conservatism_3","","S1 only",2,"?"
"Conservatism_3","S1_Conservatism_3","","S1 only",3,"Yes"
"Conservatism_4","S1_Conservatism_4","","S1 only",1,"No"
"Conservatism_4","S1_Conservatism_4","","S1 only",2,"?"
"Conservatism_4","S1_Conservatism_4","","S1 only",3,"Yes"
"Conservatism_5","S1_Conservatism_5","","S1 only",1,"No"
"Conservatism_5","S1_Conservatism_5","","S1 only",2,"?"
"Conservatism_5","S1_Conservatism_5","","S1 only",3,"Yes"
"Conservatism_6","S1_Conservatism_6","","S1 only",1,"No"
"Conservatism_6","S1_Conservatism_6","","S1 only",2,"?"
"Conservatism_6","S1_Conservatism_6","","S1 only",3,"Yes"
"Conservatism_7","S1_Conservatism_7","","S1 only",1,"No"
"Conservatism_7","S1_Conservatism_7","","S1 only",2,"?"
"Conservatism_7","S1_Conservatism_7","","S1 only",3,"Yes"
"ConventionalInterests","","S2_ConventionalInterests","S2 only",,"S2 Conventional interests"
"Coping_1","","S2_Coping_1","S2 only",1,"Not used"
"Coping_1","","S2_Coping_1","S2 only",2,"Used somewhat"
"Coping_1","","S2_Coping_1","S2 only",3,"Used quite a bit"
"Coping_1","","S2_Coping_1","S2 only",4,"Used a great deal"
"Coping_10","","S2_Coping_10","S2 only",1,"Not used"
"Coping_10","","S2_Coping_10","S2 only",2,"Used somewhat"
"Coping_10","","S2_Coping_10","S2 only",3,"Used quite a bit"
"Coping_10","","S2_Coping_10","S2 only",4,"Used a great deal"
"Coping_11","","S2_Coping_11","S2 only",1,"Not used"
"Coping_11","","S2_Coping_11","S2 only",2,"Used somewhat"
"Coping_11","","S2_Coping_11","S2 only",3,"Used quite a bit"
"Coping_11","","S2_Coping_11","S2 only",4,"Used a great deal"
"Coping_12","","S2_Coping_12","S2 only",1,"Not used"
"Coping_12","","S2_Coping_12","S2 only",2,"Used somewhat"
"Coping_12","","S2_Coping_12","S2 only",3,"Used quite a bit"
"Coping_12","","S2_Coping_12","S2 only",4,"Used a great deal"
"Coping_13","","S2_Coping_13","S2 only",1,"Not used"
"Coping_13","","S2_Coping_13","S2 only",2,"Used somewhat"
"Coping_13","","S2_Coping_13","S2 only",3,"Used quite a bit"
"Coping_13","","S2_Coping_13","S2 only",4,"Used a great deal"
"Coping_14","","S2_Coping_14","S2 only",1,"Not used"
"Coping_14","","S2_Coping_14","S2 only",2,"Used somewhat"
"Coping_14","","S2_Coping_14","S2 only",3,"Used quite a bit"
"Coping_14","","S2_Coping_14","S2 only",4,"Used a great deal"
"Coping_15","","S2_Coping_15","S2 only",1,"Not used"
"Coping_15","","S2_Coping_15","S2 only",2,"Used somewhat"
"Coping_15","","S2_Coping_15","S2 only",3,"Used quite a bit"
"Coping_15","","S2_Coping_15","S2 only",4,"Used a great deal"
"Coping_16","","S2_Coping_16","S2 only",1,"Not used"
"Coping_16","","S2_Coping_16","S2 only",2,"Used somewhat"
"Coping_16","","S2_Coping_16","S2 only",3,"Used quite a bit"
"Coping_16","","S2_Coping_16","S2 only",4,"Used a great deal"
"Coping_2","","S2_Coping_2","S2 only",1,"Not used"
"Coping_2","","S2_Coping_2","S2 only",2,"Used somewhat"
"Coping_2","","S2_Coping_2","S2 only",3,"Used quite a bit"
"Coping_2","","S2_Coping_2","S2 only",4,"Used a great deal"
"Coping_3","","S2_Coping_3","S2 only",1,"Not used"
"Coping_3","","S2_Coping_3","S2 only",2,"Used somewhat"
"Coping_3","","S2_Coping_3","S2 only",3,"Used quite a bit"
"Coping_3","","S2_Coping_3","S2 only",4,"Used a great deal"
"Coping_4","","S2_Coping_4","S2 only",1,"Not used"
"Coping_4","","S2_Coping_4","S2 only",2,"Used somewhat"
"Coping_4","","S2_Coping_4","S2 only",3,"Used quite a bit"
"Coping_4","","S2_Coping_4","S2 only",4,"Used a great deal"
"Coping_5","","S2_Coping_5","S2 only",1,"Not used"
"Coping_5","","S2_Coping_5","S2 only",2,"Used somewhat"
"Coping_5","","S2_Coping_5","S2 only",3,"Used quite a bit"
"Coping_5","","S2_Coping_5","S2 only",4,"Used a great deal"
"Coping_6","","S2_Coping_6","S2 only",1,"Not used"
"Coping_6","","S2_Coping_6","S2 only",2,"Used somewhat"
"Coping_6","","S2_Coping_6","S2 only",3,"Used quite a bit"
"Coping_6","","S2_Coping_6","S2 only",4,"Used a great deal"
"Coping_7","","S2_Coping_7","S2 only",1,"Not used"
"Coping_7","","S2_Coping_7","S2 only",2,"Used somewhat"
"Coping_7","","S2_Coping_7","S2 only",3,"Used quite a bit"
"Coping_7","","S2_Coping_7","S2 only",4,"Used a great deal"
"Coping_8","","S2_Coping_8","S2 only",1,"Not used"
"Coping_8","","S2_Coping_8","S2 only",2,"Used somewhat"
"Coping_8","","S2_Coping_8","S2 only",3,"Used quite a bit"
"Coping_8","","S2_Coping_8","S2 only",4,"Used a great deal"
"Coping_9","","S2_Coping_9","S2 only",1,"Not used"
"Coping_9","","S2_Coping_9","S2 only",2,"Used somewhat"
"Coping_9","","S2_Coping_9","S2 only",3,"Used quite a bit"
"Coping_9","","S2_Coping_9","S2 only",4,"Used a great deal"
"CriminalBehavior","S1_CriminalBehavior","","S1 only",,"S1 Criminal behavior"
"CriminalBehavior_1","S1_CriminalBehavior_1","","S1 only",1,"Never"
"CriminalBehavior_1","S1_CriminalBehavior_1","","S1 only",2,"Once or twice"
"CriminalBehavior_1","S1_CriminalBehavior_1","","S1 only",3,"Several times"
"CriminalBehavior_1","S1_CriminalBehavior_1","","S1 only",4,"Many times"
"CriminalBehavior_2","S1_CriminalBehavior_2","","S1 only",1,"Never"
"CriminalBehavior_2","S1_CriminalBehavior_2","","S1 only",2,"Once or twice"
"CriminalBehavior_2","S1_CriminalBehavior_2","","S1 only",3,"Several times"
"CriminalBehavior_2","S1_CriminalBehavior_2","","S1 only",4,"Many times"
"CriminalBehavior_3","S1_CriminalBehavior_3","","S1 only",1,"Never"
"CriminalBehavior_3","S1_CriminalBehavior_3","","S1 only",2,"Once or twice"
"CriminalBehavior_3","S1_CriminalBehavior_3","","S1 only",3,"Several times"
"CriminalBehavior_3","S1_CriminalBehavior_3","","S1 only",4,"Many times"
"CriminalBehavior_4","S1_CriminalBehavior_4","","S1 only",1,"Never"
"CriminalBehavior_4","S1_CriminalBehavior_4","","S1 only",2,"Once or twice"
"CriminalBehavior_4","S1_CriminalBehavior_4","","S1 only",3,"Several times"
"CriminalBehavior_4","S1_CriminalBehavior_4","","S1 only",4,"Many times"
"CriminalBehavior_5","S1_CriminalBehavior_5","","S1 only",1,"Never"
"CriminalBehavior_5","S1_CriminalBehavior_5","","S1 only",2,"Once or twice"
"CriminalBehavior_5","S1_CriminalBehavior_5","","S1 only",3,"Several times"
"CriminalBehavior_5","S1_CriminalBehavior_5","","S1 only",4,"Many times"
"CriminalBehavior_6","S1_CriminalBehavior_6","","S1 only",1,"Never"
"CriminalBehavior_6","S1_CriminalBehavior_6","","S1 only",2,"Once or twice"
"CriminalBehavior_6","S1_CriminalBehavior_6","","S1 only",3,"Several times"
"CriminalBehavior_6","S1_CriminalBehavior_6","","S1 only",4,"Many times"
"CultureIdent1","S1_CultureIdent1","","S1 only",1,"Yes, all of us were born in the U.S."
"CultureIdent1","S1_CultureIdent1","","S1 only",2,"No, at least one of us was born in a country other than the U.S."
"CultureIdent2","S1_CultureIdent2","","S1 only",,"Please write your heritage culture in the space provided."
"CultureIdent3","S1_CultureIdent3","","S1 only",1,"Do not believe"
"CultureIdent3","S1_CultureIdent3","","S1 only",2,"2"
"CultureIdent3","S1_CultureIdent3","","S1 only",3,"3"
"CultureIdent3","S1_CultureIdent3","","S1 only",4,"4"
"CultureIdent3","S1_CultureIdent3","","S1 only",5,"Strongly believe"
"CultureIdent4","S1_CultureIdent4","","S1 only",1,"Do not believe"
"CultureIdent4","S1_CultureIdent4","","S1 only",2,"2"
"CultureIdent4","S1_CultureIdent4","","S1 only",3,"3"
"CultureIdent4","S1_CultureIdent4","","S1 only",4,"4"
"CultureIdent4","S1_CultureIdent4","","S1 only",5,"Strongly believe"
"CultureIdent5","S1_CultureIdent5","","S1 only",1,"Do not fit"
"CultureIdent5","S1_CultureIdent5","","S1 only",2,"2"
"CultureIdent5","S1_CultureIdent5","","S1 only",3,"3"
"CultureIdent5","S1_CultureIdent5","","S1 only",4,"4"
"CultureIdent5","S1_CultureIdent5","","S1 only",5,"Fit very well"
"CultureIdent6","S1_CultureIdent6","","S1 only",1,"Do not fit"
"CultureIdent6","S1_CultureIdent6","","S1 only",2,"2"
"CultureIdent6","S1_CultureIdent6","","S1 only",3,"3"
"CultureIdent6","S1_CultureIdent6","","S1 only",4,"4"
"CultureIdent6","S1_CultureIdent6","","S1 only",5,"Fit very well"
"DatingVariety","S1_DatingVariety","","S1 only",,"S1 Dating variety"
"DatingVariety_1","S1_DatingVariety_1","","S1 only",,"How many different people did you date over the course of the past year? - Number of dating partners"
"Depression","","S2_Depression","S2 only",,"S2 Depression"
"DistributionChannel","S1_DistributionChannel","S2_DistributionChannel","S1 and S2",,"Distribution Channel"
"Duration","S1_Duration","S2_Duration","S1 and S2",,"Duration (in seconds)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",1,"Working (paid employee)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",2,"Working (self-employed)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",3,"Not working (temporary layoff from a job)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",4,"Not working (looking for work)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",5,"Not working (retired)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",6,"Not working (disabled)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",7,"Not working (student)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",8,"Not working (homemaker)"
"EmploymentStatus","S1_EmploymentStatus","S2_EmploymentStatus","S1 and S2",9,"Not working (other)"
"EmploymentStatus_9_TEXT","S1_EmploymentStatus_9_TEXT","S2_EmploymentStatus_9_TEXT","S1 and S2",,"Which statement best describes your current employment status? Text"
"EndDate","S1_EndDate","S2_EndDate","S1 and S2",,"End Date"
"EnterprisingInterests","","S2_EnterprisingInterests","S2 only",,"S2 Enterprising interests"
"EthnicCultureIdentification","S1_EthnicCultureIdentification","","S1 only",,"S1 Ethnic culture identification"
"ExistentialPhenomenologicalDimension","S1_ExistentialPhenomenologicalDimension","","S1 only",,"S1 Existential/phenomenological concerns: Existential-phenomenological dimension"
"ExistentialWellBeing","S1_ExistentialWellBeing","","S1 only",,"S1 Existential well-being"
"ExternalReference","S1_ExternalReference","S2_ExternalReference","S1 and S2",,"External Data Reference"
"ExtrinsicSuccess","","S2_ExtrinsicSuccess","S2 only",,"S2 Extrinsic success"
"FamilyFather1","S1_FamilyFather1","","S1 only",1,"Father living"
"FamilyFather1","S1_FamilyFather1","","S1 only",2,"Father has died"
"FamilyFather1","S1_FamilyFather1","","S1 only",3,"First father died, replaced by another person"
"FamilyFather1","S1_FamilyFather1","","S1 only",4,"Father estranged"
"FamilyFather1","S1_FamilyFather1","","S1 only",5,"Father contact details unknown"
"FamilyFather2","S1_FamilyFather2","","S1 only",1,"Never"
"FamilyFather2","S1_FamilyFather2","","S1 only",2,"Less than once a year"
"FamilyFather2","S1_FamilyFather2","","S1 only",3,"Once a year"
"FamilyFather2","S1_FamilyFather2","","S1 only",4,"Several times a year"
"FamilyFather2","S1_FamilyFather2","","S1 only",5,"Once a month"
"FamilyFather2","S1_FamilyFather2","","S1 only",6,"About once a week"
"FamilyFather2","S1_FamilyFather2","","S1 only",7,"Once a day"
"FamilyFather2","S1_FamilyFather2","","S1 only",8,"More than once a day"
"FamilyFather3","S1_FamilyFather3","","S1 only",1,"Never"
"FamilyFather3","S1_FamilyFather3","","S1 only",2,"Less than once a year"
"FamilyFather3","S1_FamilyFather3","","S1 only",3,"Once a year"
"FamilyFather3","S1_FamilyFather3","","S1 only",4,"Several times a year"
"FamilyFather3","S1_FamilyFather3","","S1 only",5,"Once a month"
"FamilyFather3","S1_FamilyFather3","","S1 only",6,"About once a week"
"FamilyFather3","S1_FamilyFather3","","S1 only",7,"Once a day"
"FamilyFather3","S1_FamilyFather3","","S1 only",8,"More than once a day"
"FamilyFather4","S1_FamilyFather4","","S1 only",1,"None"
"FamilyFather4","S1_FamilyFather4","","S1 only",2,"A very little bit"
"FamilyFather4","S1_FamilyFather4","","S1 only",3,"A small amount"
"FamilyFather4","S1_FamilyFather4","","S1 only",4,"A reasonable amount"
"FamilyFather4","S1_FamilyFather4","","S1 only",5,"A lot"
"FamilyFather4","S1_FamilyFather4","","S1 only",6,"A very great amount"
"FamilyFather5","S1_FamilyFather5","","S1 only",1,"Very poor"
"FamilyFather5","S1_FamilyFather5","","S1 only",2,"Poor"
"FamilyFather5","S1_FamilyFather5","","S1 only",3,"Reasonable"
"FamilyFather5","S1_FamilyFather5","","S1 only",4,"Good"
"FamilyFather5","S1_FamilyFather5","","S1 only",5,"Excellent"
"FamilyFather6","S1_FamilyFather6","","S1 only",1,"Not at all"
"FamilyFather6","S1_FamilyFather6","","S1 only",2,"A very little bit"
"FamilyFather6","S1_FamilyFather6","","S1 only",3,"A little"
"FamilyFather6","S1_FamilyFather6","","S1 only",4,"A reasonable amount"
"FamilyFather6","S1_FamilyFather6","","S1 only",5,"A lot"
"FamilyFather6","S1_FamilyFather6","","S1 only",6,"Extremely so"
"FamilyFather7","S1_FamilyFather7","","S1 only",1,"Not at all"
"FamilyFather7","S1_FamilyFather7","","S1 only",2,"A very little bit"
"FamilyFather7","S1_FamilyFather7","","S1 only",3,"A little"
"FamilyFather7","S1_FamilyFather7","","S1 only",4,"A reasonable amount"
"FamilyFather7","S1_FamilyFather7","","S1 only",5,"A lot"
"FamilyFather7","S1_FamilyFather7","","S1 only",6,"Extremely so"
"FamilyFatherAffectional","S1_FamilyFatherAffectional","","S1 only",,"S1 Family satisfaction: Father affectional"
"FamilyFatherFunctional","S1_FamilyFatherFunctional","","S1 only",,"S1 Family satisfaction: Father functional-associational"
"FamilyMother1","S1_FamilyMother1","","S1 only",1,"Mother living"
"FamilyMother1","S1_FamilyMother1","","S1 only",2,"Mother has died"
"FamilyMother1","S1_FamilyMother1","","S1 only",3,"First mother died, replaced by another person"
"FamilyMother1","S1_FamilyMother1","","S1 only",4,"Mother estranged"
"FamilyMother1","S1_FamilyMother1","","S1 only",5,"Mother contact details unknown"
"FamilyMother2","S1_FamilyMother2","","S1 only",1,"Never"
"FamilyMother2","S1_FamilyMother2","","S1 only",2,"Less than once a year"
"FamilyMother2","S1_FamilyMother2","","S1 only",3,"Once a year"
"FamilyMother2","S1_FamilyMother2","","S1 only",4,"Several times a year"
"FamilyMother2","S1_FamilyMother2","","S1 only",5,"Once a month"
"FamilyMother2","S1_FamilyMother2","","S1 only",6,"About once a week"
"FamilyMother2","S1_FamilyMother2","","S1 only",7,"Once a day"
"FamilyMother2","S1_FamilyMother2","","S1 only",8,"More than once a day"
"FamilyMother3","S1_FamilyMother3","","S1 only",1,"Never"
"FamilyMother3","S1_FamilyMother3","","S1 only",2,"Less than once a year"
"FamilyMother3","S1_FamilyMother3","","S1 only",3,"Once a year"
"FamilyMother3","S1_FamilyMother3","","S1 only",4,"Several times a year"
"FamilyMother3","S1_FamilyMother3","","S1 only",5,"Once a month"
"FamilyMother3","S1_FamilyMother3","","S1 only",6,"About once a week"
"FamilyMother3","S1_FamilyMother3","","S1 only",7,"Once a day"
"FamilyMother3","S1_FamilyMother3","","S1 only",8,"More than once a day"
"FamilyMother4","S1_FamilyMother4","","S1 only",1,"None"
"FamilyMother4","S1_FamilyMother4","","S1 only",2,"A very little bit"
"FamilyMother4","S1_FamilyMother4","","S1 only",3,"A small amount"
"FamilyMother4","S1_FamilyMother4","","S1 only",4,"A reasonable amount"
"FamilyMother4","S1_FamilyMother4","","S1 only",5,"A lot"
"FamilyMother4","S1_FamilyMother4","","S1 only",6,"A very great amount"
"FamilyMother5","S1_FamilyMother5","","S1 only",1,"Very poor"
"FamilyMother5","S1_FamilyMother5","","S1 only",2,"Poor"
"FamilyMother5","S1_FamilyMother5","","S1 only",3,"Reasonable"
"FamilyMother5","S1_FamilyMother5","","S1 only",4,"Good"
"FamilyMother5","S1_FamilyMother5","","S1 only",5,"Excellent"
"FamilyMother6","S1_FamilyMother6","","S1 only",1,"Not at all"
"FamilyMother6","S1_FamilyMother6","","S1 only",2,"A very little bit"
"FamilyMother6","S1_FamilyMother6","","S1 only",3,"A little"
"FamilyMother6","S1_FamilyMother6","","S1 only",4,"A reasonable amount"
"FamilyMother6","S1_FamilyMother6","","S1 only",5,"A lot"
"FamilyMother6","S1_FamilyMother6","","S1 only",6,"Extremely so"
"FamilyMother7","S1_FamilyMother7","","S1 only",1,"Not at all"
"FamilyMother7","S1_FamilyMother7","","S1 only",2,"A very little bit"
"FamilyMother7","S1_FamilyMother7","","S1 only",3,"A little"
"FamilyMother7","S1_FamilyMother7","","S1 only",4,"A reasonable amount"
"FamilyMother7","S1_FamilyMother7","","S1 only",5,"A lot"
"FamilyMother7","S1_FamilyMother7","","S1 only",6,"Extremely so"
"FamilyMotherAffectional","S1_FamilyMotherAffectional","","S1 only",,"S1 Family satisfaction: Mother affectional"
"FamilyMotherFunctional","S1_FamilyMotherFunctional","","S1 only",,"S1 Family satisfaction: Mother functional-associational"
"FinancialSecurity","","S2_FinancialSecurity","S2 only",,"S2 Financial security"
"Finished","S1_Finished","S2_Finished","S1 and S2",0,"False"
"Finished","S1_Finished","S2_Finished","S1 and S2",1,"True"
"Forgiveness","S1_Forgiveness","","S1 only",,"S1 Forgiveness"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",1,"Almost always false of me"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",2,"2"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",3,"More often false of me"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",4,"4"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",5,"More often true of me"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",6,"6"
"Forgiveness_1","S1_Forgiveness_1","","S1 only",7,"Almost always true of me"
"Forgiveness_2","S1_Forgiveness_2","","S1 only",1,"Almost always false of me"
"Forgiveness_2","S1_Forgiveness_2","","S1 only",2,"2"
"Forgiveness_2","S1_Forgiveness_2","","S1 only",3,"More often false of me"
"Forgiveness_2","S1_Forgiveness_2","","S1 only",4,"4"
"Forgiveness_2","S1_Forgiveness_2","","S1 only",5,"More often true of me"
